tag,path,Unnamed: 0,Unnamed: 0.1,CC,SAC,XMLD,delta_t,project_created_at,project_name,tag_date
broadleaf-2.0.7-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.0.7-GA,2404,2404,1,1,1,1034840.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-02-13 21:32:49
broadleaf-3.0.0-ALPHA1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-ALPHA1,2405,2405,1,1,1,3623633.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-03-27 20:06:42
broadleaf-2.3.0-M2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2,2406,2406,1,1,1,1328.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-03-27 20:28:50
broadleaf-2.3.0-M2-1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2-1,2407,2407,1,1,1,421549.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-01 17:34:39
broadleaf-3.0.0-ALPHA2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-ALPHA2,2408,2408,1,1,1,130787.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-03 05:54:26
broadleaf-3.0.0-ALPHA3,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-ALPHA3,2409,2409,1,1,1,514427.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-09 04:48:13
broadleaf-2.3.0-M2-2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2-2,2410,2410,1,1,1,59682.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-09 21:22:55
broadleaf-2.3.0-M2-3,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2-3,2411,2411,1,1,1,177882.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-11 22:47:37
broadleaf-2.2.1-RC1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.2.1-RC1,2412,2412,1,1,1,942053.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-04-22 20:28:30
broadleaf-2.3.0-M2-4,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2-4,2413,2413,1,1,1,1198668.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-05-06 17:26:18
broadleaf-3.0.0-BETA1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-BETA1,2414,2414,1,1,1,822587.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-05-16 05:56:05
broadleaf-3.0.0-BETA2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-BETA2,2415,2415,1,1,1,399449.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-05-20 20:53:34
broadleaf-2.3.0-M2-5,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-M2-5,2416,2416,1,1,1,250723.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-05-23 18:32:17
broadleaf-3.0.0-BETA3,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-BETA3,2417,2417,1,1,1,614072.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-05-30 21:06:49
broadleaf-3.0.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.0-GA,2418,2418,1,1,1,2409213.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-06-27 18:20:22
broadleaf-3.1.0-ALPHA1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.1.0-ALPHA1,2419,2419,1,1,1,1039682.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-07-09 19:08:24
broadleaf-3.0.1-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.1-GA,2420,2420,1,1,1,1292263.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-07-24 18:06:07
broadleaf-custom-field-1.0.0-M1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-custom-field-1.0.0-M1,2421,2421,0,1,1,4926.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-07-24 19:28:13
broadleaf-2.4.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.4.0-GA,2422,2422,1,1,1,4031738.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-09-09 11:23:51
broadleaf-2.3.0-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-2.3.0-GA,2423,2423,1,1,1,9422.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-09-09 14:00:53
broadleaf-3.0.2-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.2-GA,2424,2424,1,1,1,3623.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-09-09 15:01:16
broadleaf-3.1.0-ALPHA2,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.1.0-ALPHA2,2425,2425,1,1,1,3881380.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-10-24 13:10:56
broadleaf-3.0.3-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.3-GA,2426,2426,1,1,1,338660.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-10-28 11:15:16
broadleaf-3.0.4-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.4-GA,2427,2427,1,1,1,1204804.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-11-11 09:55:20
broadleaf-3.0.5-GA,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-3.0.5-GA,2428,2428,1,1,1,90084.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-11-12 10:56:44
broadleaf-custom-field-1.1.0-M1,/media/disk-2/aleborgne/DataSource/versions/BroadleafCommerce-versions/broadleaf-custom-field-1.1.0-M1,2429,2429,0,1,1,697442.0,2011-12-09 17:53:52+00:00,BroadleafCommerce/BroadleafCommerce,2013-11-20 12:40:46
